Sex,Length,Weight
Female,94,650
Female,91,550
Female,79,400
Female,79,400
Female,62,250
Female,79,400
Female,90,550
Female,67,250
Male,69,250
Male,79,400
Male,85,450
Male,69,250
Male,87,500
Male,68,250
Male,67,250
Male,97,600
Male,78,350
Male,71,250
Male,87,500
Male,75,300
Male,78,400
Male,68,250
Male,78,350
Male,75,750
Female,66,275
Female,89,586
Female,65,240
Female,82,470
Female,99,740
Female,72,300
Female,68,305
Female,80,430
Female,85,569
Female,77,426
Female,86,510
Female,95,635
Female,71,300
Female,75,347
Female,80,420
Female,66,237
Female,66,238
Female,93,650
Female,83,425
Female,72,304
Female,68,255
Female,73,300
Female,79,345
Female,76,365
Female,81,450
Female,84,510
Female,64,278
Female,67,227
Female,84,480
Female,65,280
Female,65,250
Female,72,310
Female,78,387
Female,85,520
Female,95,820
Male,89,530
Male,88,585
Male,65,239
Male,79,354
Male,75,345
Male,93,600
Male,83,435
Male,78,370
Male,68,265
Male,88,543
Male,82,440
Male,91,595
Male,75,557
Male,74,279
Male,71,303
Male,71,296
Male,80,410
Male,71,310
Male,72,320
Male,69,250
Male,68,247
Male,68,291
Male,72,308
Male,65,222
Male,71,265
Male,97,750
Male,79,370
Male,71,285
Male,66,243
Male,75,335
Male,79,380
Male,87,595
Male,75,328
Male,68,262
Male,78,385
Male,78,430
Male,70,380
Male,91,600
,69,268
,80,450
,64,275
,74,330
,54,177
,84,512
,65,240
,91,600
,70,353
,78,430
Female,85,475
Female,71,296
Female,85,569
Female,61,331
Female,77,379
Female,82,360
Female,74,316
Female,68,214
Female,68,224
Female,90,585
Female,65,239
Female,68,305
Female,72,299
Female,90,593
Female,83,436
Female,92,598
Female,68,283
Female,86,513
Female,66,276
Female,100,845
Female,81,450
Female,75,363
Female,79,345
Female,66,242
Female,72,298
Female,105,1048
Female,72,303
Female,74,333
Female,65,221
Female,66,237
Female,68,247
Female,99,357
Female,73,341
Female,70,265
Female,84,509
Female,75,336
Female,64,252
Female,65,252
Female,84,480
Female,64,241
Female,79,381
Female,95,821
Female,74,342
Female,75,327
Female,78,316
Female,72,310
Female,75,367
Female,84,513
Female,74,330
Female,69,268
Male,65,276
Male,77,426
Male,71,303
Male,80,430
Male,74,279
Male,75,557
Male,80,464
Male,64,254
Male,82,439
Male,88,543
Male,68,267
Male,78,370
Male,82,473
Male,100,742
Male,75,344
Male,69,293
Male,79,254
Male,98,710
Male,72,304
Male,80,410
Male,72,308
Male,71,308
Male,72,343
Male,86,509
Male,95,634
Male,72,322
Male,71,290
Male,71,290
Male,66,239
Male,88,586
Male,89,529
Male,68,244
Male,94,645
Male,70,284
Male,79,370
Male,68,255
Male,64,224
Male,80,420
Male,71,307
Male,68,291
Male,75,347
Male,69,252
Male,93,649
Male,83,426
Male,78,335
Male,66,226
Male,72,316
Male,78,387
Male,85,521
Male,84,546
Male,87,595
Male,65,250
Male,65,250
Male,68,262
Male,73,334
Male,65,241
Male,54,177
Male,64,274
Male,73,333
Male,80,449
Male,71,300
,,
,,
,,
,,
,,260
,,266
,,243
,,290
,,
,,
,,
,,259
,,200
,,265
,,
,,390
,,332
,,226
,,240
,,
,,
,,194
,,224
,,212
,,
,,
,,
,,253
,,
,,
,,
,,
,,352
,,137
,,
,,911
,,
,,
Female,70.7,220
Female,62.4,195
Female,79,240
